section,item,type,help,required,critical,weight,min,max,unit,options,failing options,photo,photo on fail,note on fail,raise action,status
PREVENTION OF FOOD CONTAMINATION,29. Food prepping stations are protected from all contaminating chemicals and other hazards during preparation.,pass fail,,yes,no,1,,,,,,,,yes,yes,
"PROPER STORAGE OF CLEAN UTENSILS, LINENS","30. Utensils, equipment, wiping cloths, linens, and single-use items are stored in clean, dry location that are protected from contamination.",pass fail,,yes,no,1,,,,,,,,yes,yes,
UTENSILS AND EQUIPMENT,31. Three bay sinks are clean and ready for dishwashing with no unnecessary items in the sinks.,pass fail,,yes,no,1,,,,,,,,yes,yes,
UTENSILS AND EQUIPMENT,32. Chemical sanitizer in the sanitizing sink has the proper concentration with test strips available and in use.,pass fail,"Chlorine: 50-200 ppm, Quats: 200-400 ppm.",yes,no,1,,,,,,,,yes,yes,
UTENSILS AND EQUIPMENT,"33. All equipment, food contact surfaces, and utensils are cleaned properly to sight and touch.",pass fail,,yes,no,1,,,,,,,,yes,yes,
UTENSILS AND EQUIPMENT,34. All equipment and oven surfaces around the grill and grill prep area have no grease build up or accumulation of debris.,pass fail,,yes,no,1,,,,,,,,yes,yes,
PHYSICAL FACILITIES,35. All refuse and trash is stored in covered containers (dumpsters) with the areas clean and maintained.,pass fail,,yes,no,1,,,,,,,,yes,yes,
PHYSICAL FACILITIES,"36. Restrooms contain working toilet, hand sink, soap, tissue, and receptacle.",pass fail,,yes,no,1,,,,,,,,yes,yes,
PHYSICAL FACILITIES,37. Mops and brooms are hung after use to prevent contamination.,pass fail,Cleaning tools are stored away from food areas to dry.,yes,no,1,,,,,,,,yes,yes,
PHYSICAL FACILITIES,38. Food prep areas clear of unnecessary items and litter.,pass fail,,yes,no,1,,,,,,,,yes,yes,
PHYSICAL FACILITIES,"39. No cracks or spaces for pest entry exist on any screens, doors, windows, or vents.",pass fail,"Areas clear of collection of debris, boxes, and trash that can contribute to pest harborage.",yes,no,1,,,,,,,,yes,yes,
7 PRINCIPLES OF SUCCESS,1. Is my restaurant clean and well maintained?,pass fail,,yes,no,1,,,,,,,,yes,yes,
7 PRINCIPLES OF SUCCESS,2. Is my restaurant well stocked?,pass fail,,yes,no,1,,,,,,,,yes,yes,
7 PRINCIPLES OF SUCCESS,3. Are my products fresh?,pass fail,"Onions, lettuce, and tomatoes sliced fresh every day. Tomatoes sorted - red, ripe, and ready. Meats and cheeses opened for that day only. Fresh baked bread and cookies.",yes,no,1,,,,,,,,yes,yes,
7 PRINCIPLES OF SUCCESS,4. Are all of my Team Members neat and well groomed?,pass fail,,yes,no,1,,,,,,,,yes,yes,
7 PRINCIPLES OF SUCCESS,5. Are we making the subs with proper procedures?,pass fail,"Subs sliced with the correct amount of meat and cheese, the right amount of vinegar and oil, the freshest produce, and prepared with a sense of urgency.",yes,no,1,,,,,,,,yes,yes,
7 PRINCIPLES OF SUCCESS,6. Are we sharing our lives with our customers?,pass fail,,yes,no,1,,,,,,,,yes,yes,
7 PRINCIPLES OF SUCCESS,7. Have I invited people into my restaurant?,pass fail,,yes,no,1,,,,,,,,yes,yes,
SUMMARY,Notes,text,,no,,,,,,,,,,,,
SUMMARY,Photos,photo,,no,,,,,,,,,,,,
SUMMARY,Time out,text,,no,,,,,,,,,,,,
